Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CL-Brain,2.253,10.569,8.028,2047,1.490
CL-Brain,1.233,13.610,3.013,2065,-0.010
CL-Brain,0.697,16.400,3.689,1201,6.990
CL-Brain,1.069,18.651,1.907,1735,3.490
CL-Brain,0.715,20.667,2.169,1206,4.390
CL-Brain,0.719,22.923,2.703,1250,1.490
CL-Brain,0.718,24.726,1.806,1253,5.276
CL-Brain,0.729,26.525,1.774,1247,11.990
CL-Brain,0.712,28.329,1.819,1233,3.847
CL-Brain,0.756,30.591,2.666,1240,-0.010
CL-Brain,0.734,32.392,1.774,1246,3.990
CL-Brain,0.718,34.236,1.878,1235,nan
CL-Brain,0.700,36.056,1.856,1253,-0.010
CL-Brain,0.730,38.361,2.790,1256,12.990
CL-Brain,0.713,40.141,1.769,1205,4.490
CL-Brain,0.708,41.778,1.523,1201,9.990
CL-Brain,0.715,43.801,2.184,1237,3.990
CL-Brain,1.089,46.232,2.246,1802,2.472
CL-Brain,0.711,48.498,2.617,1223,0.276
CL-Brain,0.753,50.237,1.635,1224,-0.010
CL-Brain,0.790,52.503,2.569,1382,-0.010
CL-Brain,0.732,54.342,1.837,1223,3.323
CL-Brain,0.727,56.044,1.611,1249,2.157
CL-Brain,0.737,58.310,2.582,1252,-0.010
CL-Brain,0.726,60.418,2.417,1229,-0.010
CL-Brain,0.730,62.148,1.668,1237,7.390
CL-Brain,0.747,63.864,1.593,1260,2.490
CL-Brain,0.730,65.594,1.663,1222,-0.010
CL-Brain,0.709,68.032,3.062,1205,8.590
CL-Brain,0.740,69.901,1.887,1229,19.490
CL-Brain,0.738,71.753,1.856,1243,3.490
CL-Brain,0.755,73.473,1.595,1257,1.790
CL-Brain,0.738,75.652,2.498,1261,-0.010
CL-Brain,0.753,77.635,2.061,1240,15.990
CL-Brain,0.734,79.443,1.789,1257,3.657
CL-Brain,0.736,81.302,1.909,1216,-0.010
CL-Brain,0.940,83.513,2.176,1562,2.646
CL-Brain,0.728,85.824,2.669,1246,2.823
CL-Brain,0.956,87.938,1.914,1635,-0.010
CL-Brain,0.715,90.474,3.273,1237,1.390
CL-Brain,0.755,92.638,2.359,1257,3.590
CL-Brain,0.745,94.480,1.812,1257,3.133
CL-Brain,0.730,96.145,1.531,1267,2.657
CL-Brain,0.724,98.266,2.429,1245,2.323
CL-Brain,0.725,100.266,2.172,1223,13.323
CL-Brain,0.760,102.120,1.810,1264,13.990
CL-Brain,0.752,104.269,2.383,1249,0.990
CL-Brain,0.735,106.018,1.687,1240,1.990
CL-Brain,0.797,107.834,1.698,1256,0.490
CL-Brain,0.762,109.801,2.019,1255,-0.010
CL-Brain,0.739,112.164,2.871,1264,2.323
CL-Brain,0.743,114.070,1.948,1244,0.190
CL-Brain,0.759,115.878,1.734,1261,7.490
CL-Brain,0.780,117.726,1.782,1216,-0.010
CL-Brain,0.753,119.541,1.772,1301,3.998
CL-Brain,1.204,122.715,3.326,2005,2.740
CL-Brain,0.737,125.082,2.738,1209,-0.010
CL-Brain,1.120,127.617,2.430,1885,nan
CL-Brain,0.743,129.836,2.501,1264,1.590
CL-Brain,0.756,132.098,2.118,1206,7.990
CL-Brain,0.811,133.882,1.597,1381,-0.010
CL-Brain,0.768,136.196,2.692,1294,5.823
CL-Brain,0.731,138.035,1.849,1226,8.490
CL-Brain,0.744,140.014,2.059,1300,-0.010
CL-Brain,0.757,142.350,2.792,1243,1.990
CL-Brain,0.738,144.202,1.854,1302,1.323
CL-Brain,0.726,146.062,1.885,1225,4.823
CL-Brain,0.744,147.962,1.922,1247,-0.010
CL-Brain,0.744,150.105,2.430,1251,-0.010
CL-Brain,0.732,151.923,1.802,1216,3.490
CL-Brain,0.729,153.781,1.891,1201,6.323
CL-Brain,0.721,155.575,1.788,1236,6.490
CL-Brain,0.742,157.357,1.796,1244,5.221
CL-Brain,1.172,160.616,3.564,1986,0.240
CL-Brain,0.729,162.835,2.518,1252,2.990
CL-Brain,1.035,165.654,3.106,1760,-0.010
CL-Brain,0.759,167.713,2.180,1239,7.490
CL-Brain,0.726,169.658,2.049,1236,10.490
CL-Brain,0.909,171.822,2.108,1472,0.790
CL-Brain,0.736,174.141,2.778,1224,19.990
CL-Brain,0.730,175.906,1.724,1244,5.490
CL-Brain,0.736,177.757,1.863,1210,-0.010
CL-Brain,0.732,180.164,2.947,1215,-0.010
CL-Brain,0.728,181.954,1.780,1237,7.990
CL-Brain,0.759,183.728,1.668,1260,4.990
CL-Brain,0.718,185.732,2.138,1234,3.590
CL-Brain,0.770,188.040,2.702,1243,16.990
CL-Brain,0.767,189.995,1.982,1227,3.990
CL-Brain,0.729,191.745,1.685,1295,13.190
CL-Brain,0.764,193.556,1.730,1238,10.657
CL-Brain,0.797,195.441,1.833,1378,3.375
CL-Brain,1.243,198.652,3.303,1960,-0.010
CL-Brain,0.758,200.924,2.543,1255,1.240
CL-Brain,1.084,203.661,2.860,1820,nan
CL-Brain,0.736,205.969,2.679,1260,6.990
CL-Brain,0.729,207.785,1.820,1228,2.990
CL-Brain,0.967,210.034,2.149,1566,2.657
CL-Brain,0.766,212.460,2.885,1204,-0.010
CL-Brain,0.742,214.156,1.589,1247,6.323
CL-Brain,0.754,215.970,1.769,1284,4.323
CL-Brain,0.721,218.329,2.882,1264,7.990
CL-Brain,0.735,220.292,2.051,1247,8.990
CL-Brain,0.761,222.081,1.699,1252,-0.010
CL-Brain,0.743,223.837,1.668,1226,-0.010
CL-Brain,0.742,225.873,2.227,1222,10.190
CL-Brain,0.744,227.850,2.090,1214,0.740
CL-Brain,0.744,229.775,1.979,1258,7.990
CL-Brain,0.773,231.627,1.792,1264,-0.010
CL-Brain,0.719,233.755,2.403,1218,3.054
CL-Brain,1.154,236.303,2.305,1961,1.990
CL-Brain,0.777,238.723,2.764,1204,5.323
CL-Brain,1.139,241.438,2.753,1885,nan
CL-Brain,0.764,243.809,2.714,1232,3.190
CL-Brain,1.034,246.083,2.055,1705,4.490
CL-Brain,0.734,248.242,2.492,1231,5.990
CL-Brain,0.754,250.386,2.332,1215,4.823
CL-Brain,0.756,252.166,1.695,1222,2.990
CL-Brain,0.810,254.147,1.932,1345,-0.010
CL-Brain,0.741,256.453,2.753,1215,5.490
CL-Brain,0.755,258.421,1.787,1202,8.990
CL-Brain,0.713,260.104,1.604,1201,13.490
CL-Brain,0.749,262.016,1.942,1246,-0.010
CL-Brain,0.741,264.395,2.874,1232,3.990
CL-Brain,0.745,266.144,1.655,1214,6.490
CL-Brain,0.742,267.976,1.812,1262,2.240
CL-Brain,0.747,269.776,1.742,1256,-0.010
CL-Brain,1.268,272.912,3.176,2091,3.855
CL-Brain,0.770,275.397,2.902,1239,0.133
CL-Brain,1.039,277.482,1.700,1753,-0.010
CL-Brain,0.749,280.228,3.524,1262,1.490
CL-Brain,0.728,282.002,1.765,1217,2.990
CL-Brain,0.805,284.017,2.001,1366,5.590
CL-Brain,0.816,286.363,2.686,1212,3.323
CL-Brain,0.756,288.172,1.749,1232,3.990
CL-Brain,0.732,290.061,1.934,1229,-0.010
CL-Brain,0.776,291.837,1.661,1224,5.990
CL-Brain,0.730,294.181,2.849,1219,1.190
CL-Brain,0.761,296.101,1.955,1214,-0.010
CL-Brain,0.782,297.992,1.822,1283,5.490
CL-Brain,0.746,299.907,1.959,1209,5.990
CL-Brain,0.711,302.084,2.592,1222,10.990
CL-Brain,0.763,303.978,1.893,1223,7.990
CL-Brain,0.750,305.977,2.064,1271,-0.010
CL-Brain,0.717,307.708,1.691,1232,-0.010
CL-Brain,0.806,309.838,2.337,1325,9.235
CL-Brain,1.187,312.940,3.220,1976,-0.010
CL-Brain,0.762,315.358,2.802,1244,-0.010
CL-Brain,1.071,318.114,2.951,1743,1.590
CL-Brain,0.745,320.164,2.168,1215,10.990
CL-Brain,0.765,322.030,1.813,1207,1.157
CL-Brain,0.730,323.985,2.091,1235,nan
CL-Brain,0.820,326.199,2.427,1374,2.990
CL-Brain,0.735,328.081,1.919,1206,5.990
CL-Brain,0.739,329.836,1.677,1240,4.990
CL-Brain,0.754,332.412,3.239,1235,nan
CL-Brain,0.737,334.289,1.905,1240,1.657
CL-Brain,0.759,336.099,1.754,1223,5.990
CL-Brain,0.728,337.955,1.871,1218,10.657
CL-Brain,0.756,340.175,2.570,1235,nan
CL-Brain,0.729,342.048,1.924,1262,14.990
CL-Brain,0.728,344.017,2.078,1242,-0.010
CL-Brain,0.736,345.823,1.779,1208,10.990
CL-Brain,0.985,348.462,2.912,1658,12.188
CL-Brain,1.189,351.505,3.084,1939,-0.010
CL-Brain,0.753,353.669,2.366,1208,-0.010
CL-Brain,0.752,355.981,2.741,1257,-0.010
CL-Brain,0.957,358.126,1.958,1593,-0.010
CL-Brain,0.718,360.238,2.333,1243,5.323
CL-Brain,0.738,362.000,1.685,1252,3.990
CL-Brain,0.770,364.130,2.392,1235,nan
