Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.923,10.467,12.311,10303,-0.100
LearningBrain,0.885,17.409,9.921,10400,nan
LearningBrain,0.959,24.159,9.659,10400,nan
LearningBrain,0.875,30.997,9.765,10441,-0.100
LearningBrain,0.879,37.663,9.625,10358,0.900
LearningBrain,0.878,44.496,9.735,10400,nan
LearningBrain,0.875,51.174,9.636,10400,nan
LearningBrain,0.870,57.858,9.595,10400,nan
LearningBrain,0.867,64.495,9.593,10381,0.233
LearningBrain,0.868,71.290,9.662,10326,-0.100
LearningBrain,0.868,77.955,9.651,10400,nan
LearningBrain,0.876,84.726,9.798,10398,-0.100
LearningBrain,0.871,91.380,9.616,10357,0.900
LearningBrain,0.874,98.238,9.766,10400,nan
LearningBrain,0.880,104.877,9.559,10365,-0.100
LearningBrain,0.894,111.613,9.624,10347,0.900
LearningBrain,0.881,118.339,9.749,10374,-0.100
LearningBrain,0.880,125.239,9.796,10371,0.400
LearningBrain,0.871,131.906,9.651,10400,nan
LearningBrain,0.882,138.696,9.598,10372,1.900
LearningBrain,0.879,145.308,9.519,10400,nan
LearningBrain,0.888,152.030,9.523,10375,0.900
LearningBrain,0.874,158.726,9.672,10400,nan
LearningBrain,0.869,165.404,9.602,10400,nan
LearningBrain,0.875,172.112,9.679,10400,nan
LearningBrain,0.881,178.793,9.504,10400,nan
LearningBrain,0.872,185.542,9.513,10400,nan
LearningBrain,0.871,192.176,9.539,10433,-0.100
LearningBrain,0.880,198.893,9.429,10400,nan
LearningBrain,0.870,205.531,9.557,10402,0.900
LearningBrain,0.867,212.234,9.416,10400,nan
LearningBrain,0.871,218.929,9.662,10400,nan
LearningBrain,0.875,225.772,9.611,10400,nan
LearningBrain,0.878,232.315,9.315,10400,nan
LearningBrain,0.883,239.042,9.472,10401,-0.100
LearningBrain,0.899,245.690,9.507,10400,nan
LearningBrain,0.891,252.405,9.387,10298,1.400
LearningBrain,0.885,259.160,9.695,10400,nan
LearningBrain,0.881,265.903,9.517,10400,nan
LearningBrain,0.896,272.539,9.490,10400,nan
LearningBrain,0.871,279.239,9.395,10400,nan
LearningBrain,0.884,285.836,9.459,10400,nan
LearningBrain,0.880,292.575,9.421,10400,nan
LearningBrain,0.877,299.187,9.480,10400,nan
LearningBrain,0.873,305.897,9.438,10400,nan
LearningBrain,0.875,312.507,9.470,10400,nan
LearningBrain,0.879,319.311,9.599,10400,nan
LearningBrain,0.888,325.969,9.504,10400,nan
LearningBrain,0.871,332.715,9.515,10400,nan
LearningBrain,0.867,339.327,9.460,10400,nan
LearningBrain,0.889,346.041,9.406,10400,nan
LearningBrain,0.874,352.761,9.436,10400,nan
LearningBrain,0.868,359.387,9.518,10400,nan
LearningBrain,0.876,366.095,9.379,10400,nan
LearningBrain,0.884,372.678,9.411,10400,nan
LearningBrain,0.885,379.393,9.432,10400,nan
LearningBrain,0.886,385.994,9.442,10400,nan
LearningBrain,0.886,392.710,9.432,10400,nan
LearningBrain,0.877,399.308,9.448,10400,nan
LearningBrain,0.899,405.970,9.463,10400,nan
LearningBrain,0.870,412.564,9.453,10400,nan
LearningBrain,0.890,419.375,9.573,10400,nan
LearningBrain,0.902,426.136,9.701,10400,nan
LearningBrain,0.884,432.890,9.487,10400,nan
LearningBrain,0.884,439.477,9.428,10400,nan
LearningBrain,0.873,446.154,9.338,10400,nan
LearningBrain,0.873,452.767,9.478,10400,nan
LearningBrain,0.874,459.424,9.289,10400,nan
LearningBrain,0.879,465.998,9.394,10400,nan
LearningBrain,0.878,472.668,9.339,10400,nan
LearningBrain,0.882,479.245,9.387,10400,nan
LearningBrain,0.868,485.930,9.425,10400,nan
LearningBrain,0.894,492.504,9.372,10400,nan
LearningBrain,0.869,499.180,9.338,10400,nan
LearningBrain,0.894,505.805,9.459,10400,nan
LearningBrain,0.880,512.466,9.337,10400,nan
LearningBrain,0.878,519.169,9.417,10400,nan
LearningBrain,0.868,525.755,9.423,10400,nan
LearningBrain,0.868,532.478,9.431,10400,nan
LearningBrain,0.879,539.151,9.583,10392,-0.100
LearningBrain,0.891,545.841,9.359,10400,nan
LearningBrain,0.887,552.376,9.276,10400,nan
LearningBrain,0.881,559.066,9.338,10400,nan
LearningBrain,0.872,565.618,9.354,10400,nan
LearningBrain,0.887,572.350,9.429,10400,nan
LearningBrain,0.875,578.898,9.353,10400,nan
LearningBrain,0.877,585.571,9.345,10400,nan
LearningBrain,0.888,592.129,9.331,10400,nan
LearningBrain,0.886,598.824,9.392,10400,nan
LearningBrain,0.873,605.330,9.295,10400,nan
LearningBrain,0.875,612.023,9.363,10400,nan
LearningBrain,0.875,618.674,9.542,10400,nan
LearningBrain,0.881,625.396,9.410,10400,nan
LearningBrain,0.873,631.930,9.292,10400,nan
LearningBrain,0.876,638.608,9.345,10400,nan
LearningBrain,0.894,645.196,9.411,10400,nan
