Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.558,6.505,7.416,10297,13.800
LearningBrain,0.517,10.463,5.445,10265,17.327
LearningBrain,0.529,14.309,5.372,10317,14.335
LearningBrain,0.526,18.213,5.380,10269,15.473
LearningBrain,0.528,22.067,5.408,10274,15.258
LearningBrain,0.538,26.005,5.376,10317,14.919
LearningBrain,0.532,29.842,5.335,10250,14.547
LearningBrain,0.522,33.687,5.328,10267,16.378
LearningBrain,0.538,37.534,5.357,10296,14.727
LearningBrain,0.545,41.490,5.333,10297,17.385
LearningBrain,0.537,45.379,5.411,10247,16.679
LearningBrain,0.558,49.422,5.319,10263,15.241
LearningBrain,0.551,53.287,5.353,10334,15.933
LearningBrain,0.553,57.355,5.492,10303,18.463
LearningBrain,0.565,61.228,5.356,10339,19.071
LearningBrain,0.572,65.301,5.455,10285,18.427
LearningBrain,0.573,69.210,5.420,10272,18.404
LearningBrain,0.551,73.271,5.375,10273,18.151
LearningBrain,0.551,77.154,5.382,10293,19.832
LearningBrain,0.563,81.147,5.344,10319,19.429
LearningBrain,0.571,85.004,5.322,10253,22.374
LearningBrain,0.550,89.062,5.480,10404,21.584
LearningBrain,0.573,92.902,5.323,10241,23.561
LearningBrain,0.560,96.983,5.559,10297,22.695
LearningBrain,0.541,100.781,5.269,10267,24.734
LearningBrain,0.561,104.765,5.362,10267,26.297
LearningBrain,0.561,108.661,5.433,10287,28.406
LearningBrain,0.558,112.670,5.334,10292,29.844
LearningBrain,0.557,116.654,5.368,10294,30.354
LearningBrain,0.561,120.497,5.329,10285,31.686
LearningBrain,0.561,124.550,5.490,10265,35.041
LearningBrain,0.555,128.409,5.359,10260,33.686
LearningBrain,0.558,132.295,5.297,10298,36.559
LearningBrain,0.593,136.217,5.402,10244,32.574
LearningBrain,0.569,140.203,5.344,10297,38.300
LearningBrain,0.575,144.221,5.617,10313,44.572
LearningBrain,0.565,148.163,5.290,10261,34.386
LearningBrain,0.551,152.024,5.370,10289,37.438
LearningBrain,0.565,156.145,5.566,10274,37.466
LearningBrain,0.554,159.998,5.354,10262,46.136
LearningBrain,0.567,163.985,5.341,10324,40.292
LearningBrain,0.578,167.826,5.312,10279,44.789
LearningBrain,0.552,171.784,5.336,10291,48.214
LearningBrain,0.571,175.664,5.384,10267,54.135
LearningBrain,0.552,179.638,5.396,10292,50.705
LearningBrain,0.553,183.410,5.271,10291,49.572
LearningBrain,0.576,187.520,5.557,10288,52.363
LearningBrain,0.576,191.415,5.413,10295,55.011
LearningBrain,0.564,195.454,5.459,10267,60.225
LearningBrain,0.559,199.251,5.240,10289,56.474
LearningBrain,0.591,203.263,5.361,10248,47.029
LearningBrain,0.563,207.154,5.426,10358,78.182
LearningBrain,0.577,211.098,5.288,10271,62.050
LearningBrain,0.590,215.105,5.590,10258,71.308
LearningBrain,0.572,218.951,5.286,10257,74.647
LearningBrain,0.571,222.858,5.461,10258,64.253
LearningBrain,0.576,226.861,5.384,10286,66.800
LearningBrain,0.571,230.785,5.467,10257,79.300
LearningBrain,0.564,234.616,5.262,10284,73.508
LearningBrain,0.582,238.536,5.445,10358,73.388
LearningBrain,0.572,242.551,5.396,10342,69.820
LearningBrain,0.556,246.403,5.310,10241,77.125
LearningBrain,0.569,250.327,5.498,10242,79.220
LearningBrain,0.562,254.440,5.558,10270,95.858
LearningBrain,0.575,258.310,5.365,10286,84.300
LearningBrain,0.580,262.411,5.535,10321,85.045
LearningBrain,0.575,266.343,5.471,10301,104.100
LearningBrain,0.563,270.331,5.409,10246,108.411
LearningBrain,0.583,274.254,5.428,10302,126.458
LearningBrain,0.567,278.156,5.418,10242,102.433
LearningBrain,0.581,282.052,5.431,10267,109.340
LearningBrain,0.591,286.123,5.465,10296,129.420
LearningBrain,0.573,290.015,5.423,10275,140.900
LearningBrain,0.589,294.018,5.377,10244,157.717
LearningBrain,0.582,297.919,5.423,10269,198.217
LearningBrain,0.581,301.926,5.360,10278,135.533
LearningBrain,2.082,307.854,6.210,10273,134.514
LearningBrain,0.585,311.858,5.341,10273,186.160
LearningBrain,0.582,315.776,5.465,10267,171.075
LearningBrain,0.603,319.816,5.428,10259,150.100
LearningBrain,0.590,323.692,5.345,10243,381.725
LearningBrain,0.575,327.682,5.365,10285,149.150
LearningBrain,0.578,331.567,5.383,10297,192.000
LearningBrain,0.575,335.608,5.435,10359,126.850
LearningBrain,0.586,339.508,5.406,10257,144.500
LearningBrain,0.567,343.426,5.258,10242,243.100
LearningBrain,0.585,347.431,5.567,10248,315.200
LearningBrain,0.575,351.531,5.571,10327,304.000
LearningBrain,0.595,355.501,5.515,10258,417.550
LearningBrain,0.570,361.540,8.495,10270,nan
LearningBrain,0.594,365.493,5.495,10266,89.500
LearningBrain,0.579,369.473,5.407,10268,512.200
LearningBrain,0.577,373.460,5.573,10302,262.100
LearningBrain,0.559,377.460,5.408,10263,713.200
LearningBrain,0.579,381.344,5.398,10270,nan
LearningBrain,0.604,385.362,5.350,10272,750.800
