Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.599,6.732,7.864,10400,nan
LearningBrain,0.551,11.037,6.159,10400,nan
LearningBrain,0.551,15.319,6.185,10400,nan
LearningBrain,0.561,19.632,6.101,10400,nan
LearningBrain,0.654,25.295,8.292,10400,nan
LearningBrain,0.546,29.753,6.271,10400,nan
LearningBrain,0.537,34.053,6.264,10400,nan
LearningBrain,0.558,38.398,6.091,10400,nan
LearningBrain,0.542,42.629,6.123,10400,nan
LearningBrain,0.563,46.934,6.159,10400,nan
LearningBrain,0.603,51.438,6.445,10400,nan
LearningBrain,0.602,56.176,6.662,10400,nan
LearningBrain,0.544,60.524,6.292,10400,nan
LearningBrain,0.577,65.025,6.269,10400,nan
LearningBrain,0.582,69.355,6.205,10400,nan
LearningBrain,0.579,74.207,6.861,10400,nan
LearningBrain,0.571,78.467,6.101,10400,nan
LearningBrain,0.602,83.031,6.322,10400,nan
LearningBrain,2.587,89.799,6.959,10400,nan
LearningBrain,0.928,95.583,7.749,10400,nan
LearningBrain,0.836,101.837,8.833,10400,nan
LearningBrain,0.619,108.018,9.018,10400,nan
LearningBrain,0.591,117.715,16.335,10400,nan
LearningBrain,0.594,122.417,6.778,10400,nan
LearningBrain,0.602,126.970,6.572,10400,nan
LearningBrain,0.596,131.679,6.578,10400,nan
LearningBrain,0.578,136.295,6.512,10400,nan
LearningBrain,0.670,140.904,6.518,10400,nan
LearningBrain,0.604,147.335,9.426,10400,nan
LearningBrain,0.587,151.887,6.541,10400,nan
LearningBrain,0.592,156.586,6.601,10400,nan
LearningBrain,0.621,161.170,6.534,10400,nan
LearningBrain,0.628,165.918,6.592,10400,nan
LearningBrain,0.633,170.504,6.511,10400,nan
LearningBrain,0.633,175.314,6.771,10400,nan
LearningBrain,0.596,179.871,6.539,10400,nan
LearningBrain,0.606,184.712,6.750,10400,nan
LearningBrain,1.944,190.708,6.715,10400,nan
LearningBrain,0.626,196.292,8.100,10400,nan
LearningBrain,0.610,200.857,6.556,10400,nan
LearningBrain,0.635,205.623,6.621,10400,nan
LearningBrain,0.614,210.236,6.615,10400,nan
LearningBrain,0.622,214.992,6.639,10400,nan
LearningBrain,0.623,219.602,6.597,10400,nan
LearningBrain,0.629,224.357,6.655,10400,nan
LearningBrain,0.620,229.035,6.729,10400,nan
LearningBrain,0.646,233.850,6.701,10400,nan
LearningBrain,0.621,238.594,6.851,10400,nan
LearningBrain,0.614,243.379,6.669,10400,nan
LearningBrain,0.616,248.094,6.791,10400,nan
LearningBrain,0.644,252.869,6.798,10400,nan
LearningBrain,0.636,257.671,6.879,10400,nan
LearningBrain,0.636,262.389,6.770,10400,nan
LearningBrain,0.631,267.164,6.826,10400,nan
LearningBrain,0.679,272.025,6.825,10400,nan
LearningBrain,0.655,276.974,6.930,10400,nan
LearningBrain,0.719,281.828,6.874,10400,nan
LearningBrain,0.650,286.702,6.816,10400,nan
LearningBrain,0.641,291.503,6.853,10400,nan
LearningBrain,0.637,296.336,6.964,10400,nan
LearningBrain,0.667,301.179,6.935,10400,nan
LearningBrain,0.699,306.222,7.025,10400,nan
LearningBrain,0.658,311.066,6.941,10400,nan
LearningBrain,0.653,316.053,6.983,10400,nan
LearningBrain,0.665,320.951,6.999,10400,nan
LearningBrain,0.648,325.862,6.841,10400,nan
LearningBrain,0.628,332.297,9.657,10400,nan
LearningBrain,0.626,337.079,6.662,10400,nan
LearningBrain,0.613,341.842,6.916,10400,nan
LearningBrain,0.621,346.677,6.774,10400,nan
LearningBrain,0.629,351.362,6.747,10400,nan
LearningBrain,0.606,356.097,6.635,10400,nan
LearningBrain,0.611,360.739,6.656,10400,nan
LearningBrain,2.519,367.322,6.510,10400,nan
LearningBrain,0.630,372.466,7.551,10400,nan
LearningBrain,0.615,377.156,6.537,10400,nan
LearningBrain,0.745,381.898,6.399,10400,nan
LearningBrain,0.607,386.405,6.490,10400,nan
LearningBrain,0.619,391.046,6.468,10400,nan
LearningBrain,0.613,395.573,6.524,10400,nan
LearningBrain,0.592,400.183,6.468,10400,nan
LearningBrain,0.614,404.637,6.330,10400,nan
LearningBrain,0.624,409.250,6.426,10400,nan
LearningBrain,0.596,413.737,6.446,10400,nan
LearningBrain,0.618,418.315,6.358,10400,nan
LearningBrain,0.601,422.804,6.454,10400,nan
LearningBrain,0.599,427.413,6.423,10400,nan
LearningBrain,0.599,431.850,6.345,10400,nan
LearningBrain,0.608,436.465,6.455,10400,nan
LearningBrain,0.601,440.903,6.372,10400,nan
LearningBrain,0.601,445.488,6.402,10400,nan
LearningBrain,0.595,450.045,6.597,10400,nan
LearningBrain,0.633,454.623,6.335,10400,nan
LearningBrain,0.609,459.128,6.513,10400,nan
LearningBrain,0.598,463.721,6.418,10400,nan
LearningBrain,0.584,468.141,6.346,10400,nan
